Date;Widely available;Newly available;Implemented somewhere
2003-06-23;0;0;91
2003-10-24;0;0;94
2004-02-02;0;0;97
2004-11-09;0;0;160
2005-04-15;0;0;164
2005-04-29;0;0;166
2005-11-29;0;0;173
2006-10-24;0;0;177
2007-06-29;0;0;180
2007-10-26;0;0;183
2008-03-18;0;0;192
2008-06-17;0;0;200
2008-12-11;0;0;204
2009-05-21;0;0;206
2009-06-08;0;0;213
2009-06-17;0;0;216
2009-06-30;0;0;217
2010-01-21;0;0;219
2010-01-25;0;0;223
2010-05-25;0;0;234
2010-06-07;0;0;239
2010-06-21;0;0;240
2010-09-02;0;0;243
2010-10-19;0;0;247
2010-11-22;0;0;249
2010-12-02;0;0;250
2011-02-03;0;0;253
2011-03-08;0;0;258
2011-03-22;0;0;261
2011-04-27;0;0;262
2011-06-07;0;0;264
2011-06-21;0;0;265
2011-07-20;0;0;266
2011-08-16;0;0;268
2011-09-16;0;0;269
2011-10-12;0;0;270
2011-10-25;0;0;271
2011-12-13;0;0;273
2011-12-20;0;0;275
2012-02-08;0;0;276
2012-03-28;0;0;277
2012-04-24;0;0;278
2012-05-15;0;0;279
2012-06-05;0;0;283
2012-06-26;0;0;288
2012-07-25;0;0;291
2012-08-28;0;0;292
2012-10-09;0;0;297
2012-11-06;0;0;299
2012-11-20;0;0;301
2013-01-08;0;0;303
2013-01-10;0;0;308
2013-02-19;0;0;311
2013-02-21;0;0;312
2013-02-27;0;0;313
2013-03-26;0;0;319
2013-04-02;0;0;320
2013-05-21;0;0;322
2013-06-25;0;0;328
2013-07-10;0;0;329
2013-08-06;0;0;331
2013-08-20;0;0;334
2013-09-17;0;0;335
2013-09-18;0;0;338
2013-10-01;0;0;339
2013-10-02;0;0;340
2013-10-29;0;0;342
2013-11-12;0;0;343
2013-12-10;0;0;345
2014-01-14;0;0;350
2014-02-04;0;0;353
2014-02-20;0;0;355
2014-03-18;0;0;359
2014-04-02;0;0;362
2014-04-29;0;0;364
2014-05-20;0;0;366
2014-06-10;0;0;368
2014-07-16;0;0;373
2014-07-22;0;0;379
2014-08-26;0;0;385
2014-09-02;0;0;387
2014-09-17;0;0;390
2014-10-07;0;0;398
2014-10-08;0;0;399
2014-10-14;0;0;402
2014-10-16;0;0;403
2014-11-12;0;0;404
2014-12-01;0;0;413
2015-01-13;0;0;414
2015-01-21;0;0;415
2015-02-24;0;0;421
2015-02-27;0;0;422
2015-03-03;0;0;425
2015-03-31;0;0;428
2015-04-14;0;0;432
2015-05-12;0;0;439
2015-05-19;0;0;441
2015-07-02;0;0;442
2015-07-21;0;0;445
2015-07-29;0;238;219
2015-09-01;0;238;220
2015-09-16;0;239;224
2015-09-22;0;240;224
2015-09-30;0;256;208
2015-10-13;0;256;210
2015-11-12;0;258;208
2015-12-01;0;258;213
2015-12-15;0;258;215
2016-01-20;0;258;217
2016-01-26;0;258;221
2016-03-02;0;258;222
2016-03-08;0;259;222
2016-03-21;0;262;222
2016-04-13;0;262;223
2016-05-25;0;262;225
2016-06-07;0;264;223
2016-07-20;0;264;229
2016-08-02;0;266;229
2016-08-31;0;266;232
2016-09-07;0;267;232
2016-09-13;0;267;234
2016-09-20;0;282;222
2016-10-12;0;282;226
2016-12-01;0;282;228
2017-01-24;0;282;233
2017-01-25;0;282;237
2017-02-01;0;283;238
2017-03-07;0;286;240
2017-03-09;0;286;241
2017-03-16;0;287;241
2017-03-27;0;293;237
2017-04-05;0;299;232
2017-04-19;0;301;236
2017-07-25;0;301;244
2017-08-08;0;301;248
2017-09-05;0;301;253
2017-09-19;0;305;251
2017-09-28;0;306;250
2017-10-17;0;309;250
2017-10-24;0;311;248
2017-11-14;0;311;249
2017-11-28;0;312;248
2017-12-05;0;312;251
2018-01-22;0;312;252
2018-01-23;0;312;253
2018-01-29;238;74;253
2018-03-06;238;74;257
2018-03-13;238;74;258
2018-03-16;239;73;258
2018-03-22;240;72;258
2018-03-29;240;72;262
2018-03-30;256;56;262
2018-04-12;256;57;261
2018-04-17;256;57;268
2018-04-30;256;62;264
2018-05-09;256;64;263
2018-05-12;258;62;263
2018-05-29;258;62;269
2018-07-24;258;62;274
2018-09-04;258;62;283
2018-09-05;258;64;281
2018-09-08;259;63;281
2018-09-17;259;63;283
2018-09-21;262;60;283
2018-10-02;262;65;279
2018-10-16;262;65;280
2018-10-23;262;66;281
2018-12-04;262;66;284
2018-12-07;264;64;284
2018-12-11;264;66;284
2019-01-29;264;67;287
2019-02-02;266;65;287
2019-03-07;267;64;287
2019-03-12;267;64;291
2019-03-19;267;64;296
2019-03-20;282;49;296
2019-03-25;282;53;294
2019-04-23;282;53;299
2019-05-21;282;53;300
2019-06-04;282;53;305
2019-07-09;282;53;307
2019-07-30;282;53;315
2019-08-01;283;52;315
2019-09-03;283;52;316
2019-09-07;286;49;316
2019-09-10;286;49;323
2019-09-16;287;48;323
2019-09-19;287;53;320
2019-09-27;293;47;320
2019-10-05;299;41;320
2019-10-19;301;39;320
2019-10-22;301;39;322
2019-12-10;301;39;327
2020-01-07;301;39;332
2020-01-15;301;114;258
2020-02-04;301;115;265
2020-02-07;301;116;264
2020-03-19;305;112;264
2020-03-24;305;120;262
2020-03-28;306;119;262
2020-04-07;306;119;265
2020-04-13;306;120;264
2020-04-17;309;117;264
2020-04-24;311;115;264
2020-05-19;311;115;270
2020-05-28;312;114;270
2020-06-30;312;114;271
2020-07-16;312;114;275
2020-07-27;312;115;277
2020-07-28;312;124;272
2020-08-25;312;124;279
2020-08-27;312;125;278
2020-09-16;312;138;268
2020-09-22;312;138;269
2020-10-09;312;138;275
2020-10-12;313;137;275
2020-10-20;313;138;275
2020-10-30;318;133;275
2020-11-09;320;131;275
2020-11-17;320;132;280
2020-11-19;320;133;279
2021-01-19;320;133;280
2021-01-21;320;137;276
